Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
ASPS,Altisource Portfolio Solutions S.A. ,Altisource Portfolio Solutions S.A. - Common Stock,Q,N,N,100.0,N,N
ASPU,Aspen Group Inc. ,Aspen Group Inc. - Common Stock,S,N,N,100.0,N,N
ASRT,"Assertio Therapeutics, Inc. ","Assertio Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
ASRV,AmeriServ Financial Inc. ,AmeriServ Financial Inc. - Common Stock,G,N,N,100.0,N,N
ASRVP,AmeriServ Financial Inc. ,"AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A",G,N,N,100.0,N,N
ASTC,Astrotech Corporation ,Astrotech Corporation - Common Stock,S,N,N,100.0,N,N
ASTE,"Astec Industries, Inc. ","Astec Industries, Inc. - Common Stock",Q,N,N,100.0,N,N
ASUR,Asure Software Inc ,Asure Software Inc - Common Stock,S,N,N,100.0,N,N
ASV,"ASV Holdings, Inc. ","ASV Holdings, Inc. - Common Stock",S,N,N,100.0,N,N
ASYS,"Amtech Systems, Inc. ","Amtech Systems, Inc. - Common Stock",Q,N,N,100.0,N,N
ATAC,Atlantic Acquisition Corp. ,Atlantic Acquisition Corp. - Common Stock,S,N,N,100.0,N,N
ATACR,Atlantic Acquisition Corp. ,Atlantic Acquisition Corp. - Right,S,N,N,100.0,N,N
ATACU,Atlantic Acquisition Corp. ,Atlantic Acquisition Corp. - Unit,S,N,N,100.0,N,N
ATAI,ATA Inc. ,"ATA Inc. - American Depositary Shares, each representing two common shares",G,N,N,100.0,N,N
ATAX,"America First Multifamily Investors, L.P. ","America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests",Q,N,N,100.0,N,N
ATEC,"Alphatec Holdings, Inc. ","Alphatec Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N
ATHN,"athenahealth, Inc. ","athenahealth, Inc. - Common Stock",Q,N,N,100.0,N,N
ATHX,"Athersys, Inc. ","Athersys, Inc. - Common Stock",S,N,N,100.0,N,N
ATIS,Attis Industries Inc. ,Attis Industries Inc. - Common Stock,S,N,D,100.0,N,N
ATISW,Attis Industries Inc. ,Attis Industries Inc. - Warrants,S,N,D,100.0,N,N
ATLC,Atlanticus Holdings Corporation ,Atlanticus Holdings Corporation - Common Stock,Q,N,D,100.0,N,N
ATLO,Ames National Corporation ,Ames National Corporation - Common Stock,S,N,N,100.0,N,N
ATNI,"ATN International, Inc. ","ATN International, Inc. - Common Stock",Q,N,N,100.0,N,N
ATNX,"Athenex, Inc. ","Athenex, Inc. - Common Stock",Q,N,N,100.0,N,N
ATOM,Atomera Incorporated ,Atomera Incorporated - Common Stock,S,N,N,100.0,N,N
ATOS,Atossa Genetics Inc. ,Atossa Genetics Inc. - Common Stock,S,N,N,100.0,N,N
ATRA,"Atara Biotherapeutics, Inc. ","Atara Biotherapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
ATRC,"AtriCure, Inc. ","AtriCure, Inc. - Common Stock",G,N,N,100.0,N,N
ATRI,Atrion Corporation ,Atrion Corporation - Common Stock,Q,N,N,100.0,N,N
ATRO,Astronics Corporation ,Astronics Corporation - Common Stock,Q,N,N,100.0,N,N
ATRS,"Antares Pharma, Inc. ","Antares Pharma, Inc. - Common Stock",S,N,N,100.0,N,N
ATSG,"Air Transport Services Group, Inc ","Air Transport Services Group, Inc - Common Stock",Q,N,N,100.0,N,N
ATTU,Attunity Ltd. ,Attunity Ltd. - Ordinary Shares,S,N,N,100.0,N,N
ATVI,"Activision Blizzard, Inc ","Activision Blizzard, Inc - Common Stock",Q,N,N,100.0,N,N
ATXI,"Avenue Therapeutics, Inc. ","Avenue Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
AUBN,"Auburn National Bancorporation, Inc. ","Auburn National Bancorporation, Inc. - Common Stock",G,N,N,100.0,N,N
AUDC,AudioCodes Ltd. ,AudioCodes Ltd. - Ordinary Shares,Q,N,N,100.0,N,N
AUPH,Aurinia Pharmaceuticals Inc ,Aurinia Pharmaceuticals Inc - Common Shares,G,N,N,100.0,N,N
AUTL,Autolus Therapeutics plc ,Autolus Therapeutics plc - American Depositary Share,Q,N,N,100.0,N,N
AUTO,"AutoWeb, Inc. ","AutoWeb, Inc. - Common Stock",S,N,N,100.0,N,N
AVAV,"AeroVironment, Inc. ","AeroVironment, Inc. - Common Stock",Q,N,N,100.0,N,N
AVDL,Avadel Pharmaceuticals plc ,Avadel Pharmaceuticals plc - American Depositary Shares each representing one Ordinary Share,G,N,N,100.0,N,N
AVEO,"AVEO Pharmaceuticals, Inc. ","AVEO Pharmaceuticals, Inc. - Common Stock",S,N,N,100.0,N,N
AVGO,Broadcom Inc. ,Broadcom Inc. - Common Stock,Q,N,N,100.0,N,N
AVGR,"Avinger, Inc. ","Avinger, Inc. - Common Stock",S,N,N,100.0,N,N
AVHI,"A V Homes, Inc. ","A V Homes, Inc. - Common Stock",Q,N,N,100.0,N,N
AVID,"Avid Technology, Inc. ","Avid Technology, Inc. - Common Stock",Q,N,N,100.0,N,N
AVNW,"Aviat Networks, Inc. ","Aviat Networks, Inc. - Common Stock",Q,N,N,100.0,N,N
AVRO,"AVROBIO, Inc. ","AVROBIO, Inc. - Common Stock",Q,N,N,100.0,N,N
AVT,"Avnet, Inc. ","Avnet, Inc. - Common Stock",Q,N,N,100.0,N,N
AVXL,Anavex Life Sciences Corp. ,Anavex Life Sciences Corp. - Common Stock,S,N,N,100.0,N,N
AWRE,"Aware, Inc. ","Aware, Inc. - Common Stock",G,N,N,100.0,N,N
AWSM,Cool Holdings Inc. ,Cool Holdings Inc. - Common Stock,S,N,N,100.0,N,N
AXAS,Abraxas Petroleum Corporation ,Abraxas Petroleum Corporation - Common Stock,S,N,N,100.0,N,N
AXDX,"Accelerate Diagnostics, Inc. ","Accelerate Diagnostics, Inc. - Common Stock",S,N,N,100.0,N,N
AXGN,"AxoGen, Inc. ","AxoGen, Inc. - Common Stock",S,N,N,100.0,N,N
AXON,Axovant Sciences Ltd. ,Axovant Sciences Ltd. - Common Shares,Q,N,N,100.0,N,N
AXSM,"Axsome Therapeutics, Inc. ","Axsome Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
AXTI,AXT Inc ,AXT Inc - Common Stock,Q,N,N,100.0,N,N
AY,Atlantica Yield plc ,Atlantica Yield plc - Ordinary Shares,Q,N,N,100.0,N,N
AYTU,"Aytu BioScience, Inc. ","Aytu BioScience, Inc. - Common Stock",S,N,D,100.0,N,N
AZPN,"Aspen Technology, Inc. ","Aspen Technology, Inc. - Common Stock",Q,N,N,100.0,N,N
AZRX,"AzurRx BioPharma, Inc. ","AzurRx BioPharma, Inc. - Common Stock",S,N,N,100.0,N,N
BABY,Natus Medical Incorporated ,Natus Medical Incorporated - Common Stock,Q,N,N,100.0,N,N
BAND,Bandwidth Inc. ,Bandwidth Inc. - Class A Common Stock,Q,N,N,100.0,N,N
BANF,BancFirst Corporation ,BancFirst Corporation - Common Stock,Q,N,N,100.0,N,N
BANFP,BancFirst Corporation ,BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities,Q,N,N,100.0,N,N
BANR,Banner Corporation ,Banner Corporation - Common Stock,Q,N,N,100.0,N,N
BANX,StoneCastle Financial Corp ,StoneCastle Financial Corp - Common Stock,Q,N,N,100.0,N,N
BASI,"Bioanalytical Systems, Inc. ","Bioanalytical Systems, Inc. - Common Stock",S,N,N,100.0,N,N
BATRA,Liberty Media Corporation ,Liberty Media Corporation - Series A Liberty Braves Common Stock,Q,N,N,100.0,N,N
BATRK,Liberty Media Corporation ,Liberty Media Corporation - Series C Liberty Braves Common Stock,Q,N,N,100.0,N,N
BBBY,Bed Bath & Beyond Inc. ,Bed Bath & Beyond Inc. - Common Stock,Q,N,N,100.0,N,N
BBGI,"Beasley Broadcast Group, Inc. ","Beasley Broadcast Group, Inc. - Class A Common Stock",G,N,N,100.0,N,N
BBH,VanEck Vectors Biotech ETF,VanEck Vectors Biotech ETF,G,N,N,100.0,Y,N
BBOX,Black Box Corporation ,Black Box Corporation - Common Stock,Q,N,N,100.0,N,N
BBSI,"Barrett Business Services, Inc. ","Barrett Business Services, Inc. - Common Stock",Q,N,N,100.0,N,N
BCAC,Bison Capital Acquisition Corp. ,Bison Capital Acquisition Corp. - Ordinary Shares,S,N,N,100.0,N,N
BCACR,Bison Capital Acquisition Corp. ,Bison Capital Acquisition Corp. - Rights,S,N,N,100.0,N,N
BCACU,Bison Capital Acquisition Corp. ,"Bison Capital Acquisition Corp. - Units Consisting of 1 OS, 1/2 WT and 1 RT",S,N,N,100.0,N,N
BCACW,Bison Capital Acquisition Corp. ,Bison Capital Acquisition Corp. - Warrant,S,N,N,100.0,N,N
BCBP,"BCB Bancorp, Inc. (NJ) ","BCB Bancorp, Inc. (NJ) - Common Stock",G,N,N,100.0,N,N
BCLI,Brainstorm Cell Therapeutics Inc. ,Brainstorm Cell Therapeutics Inc. - Common Stock,S,N,N,100.0,N,N
BCML,BayCom Corp ,BayCom Corp - Common Stock,Q,N,N,100.0,N,N
BCNA,Reality Shares Nasdaq NexGen Economy China ETF,Reality Shares Nasdaq NexGen Economy China ETF,G,N,N,100.0,Y,N
BCOM,B Communications Ltd. ,B Communications Ltd. - Ordinary Shares,Q,N,N,100.0,N,N
BCOR,"Blucora, Inc. ","Blucora, Inc. - Common Stock",Q,N,N,100.0,N,N
BCOV,Brightcove Inc. ,Brightcove Inc. - Common Stock,Q,N,N,100.0,N,N
BCPC,Balchem Corporation ,Balchem Corporation - Common Stock,Q,N,N,100.0,N,N
BCRX,"BioCryst Pharmaceuticals, Inc. ","BioCryst Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
BCTF,"Bancorp 34, Inc. ","Bancorp 34, Inc. - Common Stock",S,N,N,100.0,N,N
BDGE,"Bridge Bancorp, Inc. ","Bridge Bancorp, Inc. - Common Stock",Q,N,N,100.0,N,N
BDSI,"BioDelivery Sciences International, Inc. ","BioDelivery Sciences International, Inc. - Common Stock",S,N,N,100.0,N,N
BEAT,"BioTelemetry, Inc. ","BioTelemetry, Inc. - Common Stock",Q,N,N,100.0,N,N
BECN,"Beacon Roofing Supply, Inc. ","Beacon Roofing Supply, Inc. - Common Stock",Q,N,N,100.0,N,N
BELFA,Bel Fuse Inc. ,Bel Fuse Inc. - Class A Common Stock,Q,N,N,100.0,N,N
BELFB,Bel Fuse Inc. ,Bel Fuse Inc. - Class B Common Stock,Q,N,N,100.0,N,N
BFIN,BankFinancial Corporation ,BankFinancial Corporation - Common Stock,Q,N,N,100.0,N,N
BFIT,Global X Health & Wellness Thematic ETF,Global X Health & Wellness Thematic ETF,G,N,N,100.0,Y,N
BFRA,Biofrontera AG ,Biofrontera AG - American Depositary Shares,S,N,N,100.0,N,N
BFST,"Business First Bancshares, Inc. ","Business First Bancshares, Inc. - Common Stock",Q,N,N,100.0,N,N
BGCP,"BGC Partners, Inc. ","BGC Partners, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
BGFV,Big 5 Sporting Goods Corporation ,Big 5 Sporting Goods Corporation - Common Stock,Q,N,N,100.0,N,N
BGNE,"BeiGene, Ltd. ","BeiGene, Ltd. - American Depositary Shares",Q,N,N,100.0,N,N
BHAC,Barington/Hilco Acquisition Corp. ,Barington/Hilco Acquisition Corp. - Common Stock,S,N,N,100.0,N,N
BHACR,Barington/Hilco Acquisition Corp. ,Barington/Hilco Acquisition Corp. - Right,S,N,N,100.0,N,N
BHACU,Barington/Hilco Acquisition Corp. ,Barington/Hilco Acquisition Corp. - Unit,S,N,N,100.0,N,N
BHACW,Barington/Hilco Acquisition Corp. ,Barington/Hilco Acquisition Corp. - Warrants,S,N,N,100.0,N,N
BHBK,"Blue Hills Bancorp, Inc. ","Blue Hills Bancorp, Inc. - Common Stock",Q,N,N,100.0,N,N
BHF,"Brighthouse Financial, Inc. ","Brighthouse Financial, Inc. - Common Stock",Q,N,N,100.0,N,N
BHTG,"BioHiTech Global, Inc. ","BioHiTech Global, Inc. - Common Stock",S,N,N,100.0,N,N
BIB,ProShares Ultra Nasdaq Biotechnology,ProShares Ultra Nasdaq Biotechnology,G,N,N,100.0,Y,N
BICK,First Trust BICK Index Fund,First Trust BICK Index Fund,G,N,N,100.0,Y,N
BIDU,"Baidu, Inc. ","Baidu, Inc. - American Depositary Shares, each representing one tenth Class A ordinary share",Q,N,N,100.0,N,N
BIIB,Biogen Inc. ,Biogen Inc. - Common Stock,Q,N,N,100.0,N,N
BILI,Bilibili Inc. ,Bilibili Inc. - American Depositary Shares,Q,N,N,100.0,N,N
BIOC,"Biocept, Inc. ","Biocept, Inc. - Common Stock",S,N,N,100.0,N,N
BIOL,"Biolase, Inc. ","Biolase, Inc. - Common Stock",S,N,N,100.0,N,N
BIOS,"BioScrip, Inc. ","BioScrip, Inc. - Common Stock",Q,N,N,100.0,N,N
BIS,ProShares UltraShort Nasdaq Biotechnology,ProShares UltraShort Nasdaq Biotechnology,G,N,N,100.0,Y,N
BJRI,"BJ's Restaurants, Inc. ","BJ's Restaurants, Inc. - Common Stock",Q,N,N,100.0,N,N
BKCC,BlackRock Capital Investment Corporation ,BlackRock Capital Investment Corporation - Common Stock,Q,N,N,100.0,N,N
BKEP,"Blueknight Energy Partners L.P., L.L.C. ","Blueknight Energy Partners L.P., L.L.C. - Common Units representing Limited Partner Interests",G,N,N,100.0,N,N
BKEPP,"Blueknight Energy Partners L.P., L.L.C. ","Blueknight Energy Partners L.P., L.L.C. - Series A Preferred Units",G,N,N,100.0,N,N
BKNG,Booking Holdings Inc. ,Booking Holdings Inc. - Common Stock,Q,N,N,100.0,N,N
BKSC,Bank of South Carolina Corp. ,Bank of South Carolina Corp. - Common Stock,S,N,N,100.0,N,N
BKYI,BIO,"BIO-key International, Inc. - Common Stock",S,N,N,100.0,N,N
BL,"BlackLine, Inc. ","BlackLine, Inc. - Common Stock",Q,N,N,100.0,N,N
BLBD,Blue Bird Corporation ,Blue Bird Corporation - Common Stock,G,N,N,100.0,N,N
BLCM,"Bellicum Pharmaceuticals, Inc. ","Bellicum Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0,N,N
BLCN,Reality Shares Nasdaq NextGen Economy ETF,Reality Shares Nasdaq NextGen Economy ETF,G,N,N,100.0,Y,N
BLDP,"Ballard Power Systems, Inc. ","Ballard Power Systems, Inc. - Common Shares",G,N,N,100.0,N,N
BLDR,"Builders FirstSource, Inc. ","Builders FirstSource, Inc. - Common Stock",Q,N,N,100.0,N,N
BLFS,"BioLife Solutions, Inc. ","BioLife Solutions, Inc. - Common Stock",S,N,N,100.0,N,N
BLIN,"Bridgeline Digital, Inc. ","Bridgeline Digital, Inc. - Common Stock",S,N,N,100.0,N,N
BLKB,"Blackbaud, Inc. ","Blackbaud, Inc. - Common Stock",Q,N,N,100.0,N,N
BLMN,"Bloomin' Brands, Inc. ","Bloomin' Brands, Inc. - Common Stock",Q,N,N,100.0,N,N
BLMT,"BSB Bancorp, Inc. ","BSB Bancorp, Inc. - Common Stock",S,N,N,100.0,N,N
BLNK,Blink Charging Co. ,Blink Charging Co. - Common Stock,S,N,N,100.0,N,N
BLNKW,Blink Charging Co. ,Blink Charging Co. - Warrant,S,N,N,100.0,N,N
BLPH,"Bellerophon Therapeutics, Inc. ","Bellerophon Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
BLRX,BioLineRx Ltd. ,BioLineRx Ltd. - American Depositary Shares,S,N,D,100.0,N,N
BLUE,"bluebird bio, Inc. ","bluebird bio, Inc. - Common Stock",Q,N,N,100.0,N,N
BMCH,"BMC Stock Holdings, Inc. ","BMC Stock Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N
BMLP,Bank Of Montreal ,"Bank Of Montreal - BMO Elkhorn DWA MLP Select Index Exchange Traded Notes due December 10, 2036",G,N,N,100.0,N,N
BMRA,"Biomerica, Inc. ","Biomerica, Inc. - Common Stock",S,N,N,100.0,N,N
BMRC,Bank of Marin Bancorp ,Bank of Marin Bancorp - Common Stock,S,N,N,100.0,N,N
BMRN,BioMarin Pharmaceutical Inc. ,BioMarin Pharmaceutical Inc. - Common Stock,Q,N,N,100.0,N,N
BMTC,Bryn Mawr Bank Corporation ,Bryn Mawr Bank Corporation - Common Stock,Q,N,N,100.0,N,N
BNCL,"Beneficial Bancorp, Inc. ","Beneficial Bancorp, Inc. - Common Stock",Q,N,N,100.0,N,N
BND,Vanguard Total Bond Market ETF,Vanguard Total Bond Market ETF,G,N,N,100.0,Y,N
BNDX,Vanguard Total International Bond ETF,Vanguard Total International Bond ETF,G,N,N,100.0,Y,N
BNFT,"Benefitfocus, Inc. ","Benefitfocus, Inc. - Common Stock",G,N,N,100.0,N,N
BNGOU,"Bionano Genomics, Inc. ","Bionano Genomics, Inc. - Unit",S,N,N,100.0,N,N
BNSO,"Bonso Electronics International, Inc. ","Bonso Electronics International, Inc. - Common Stock",S,N,N,100.0,N,N
BNTC,Benitec Biopharma Limited ,Benitec Biopharma Limited - American Depositary Shares,S,N,N,100.0,N,N
BNTCW,Benitec Biopharma Limited ,Benitec Biopharma Limited - Warrant,S,N,N,100.0,N,N
BOCH,Bank of Commerce Holdings (CA) ,Bank of Commerce Holdings (CA) - Common Stock,G,N,N,100.0,N,N
BOFI,"BofI Holding, Inc. ","BofI Holding, Inc. - Common Stock",Q,N,N,100.0,N,N
BOFIL,"BofI Holding, Inc. ","BofI Holding, Inc. - 6.25% Subordinated Notes Due 2026",Q,N,N,100.0,N,N
BOJA,"Bojangles', Inc. ","Bojangles', Inc. - Common Stock",Q,N,N,100.0,N,N
BOKF,BOK Financial Corporation ,BOK Financial Corporation - Common Stock,Q,N,N,100.0,N,N
BOKFL,BOK Financial Corporation ,BOK Financial Corporation - 5.375% Subordinated Notes due 2056,Q,N,N,100.0,N,N
BOLD,"Audentes Therapeutics, Inc. ","Audentes Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
BOMN,Boston Omaha Corporation ,Boston Omaha Corporation - Class A Common Stock,S,N,N,100.0,N,N
BOOM,DMC Global Inc. ,DMC Global Inc. - Common Stock,Q,N,N,100.0,N,N
BOSC,B.O.S. Better Online Solutions ,B.O.S. Better Online Solutions - Ordinary Shares,S,N,N,100.0,N,N
BOTJ,"Bank of the James Financial Group, Inc. ","Bank of the James Financial Group, Inc. - Common Stock",S,N,N,100.0,N,N
BOTZ,Global X Robotics & Artificial Intelligence ETF,Global X Robotics & Artificial Intelligence ETF,G,N,N,100.0,Y,N
BOXL,Boxlight Corporation ,Boxlight Corporation - Class A Common Stock,S,N,N,100.0,N,N
BPFH,"Boston Private Financial Holdings, Inc. ","Boston Private Financial Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N
BPFHW,"Boston Private Financial Holdings, Inc. ","Boston Private Financial Holdings, Inc. - Warrants to purchase 1 share of common stock @ $8.00/share",Q,N,N,100.0,N,N
BPMC,Blueprint Medicines Corporation ,Blueprint Medicines Corporation - Common Stock,Q,N,N,100.0,N,N
BPOP,"Popular, Inc. ","Popular, Inc. - Common Stock",Q,N,N,100.0,N,N
BPOPM,"Popular, Inc. ","Popular, Inc. - Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities",Q,N,N,100.0,N,N
BPOPN,"Popular, Inc. ","Popular, Inc. - Popular Capital Trust I -6.70% Cumulative Monthly Income Trust Preferred Securities",Q,N,N,100.0,N,N
BPRN,The Bank of Princeton ,The Bank of Princeton - Common Stock,Q,N,N,100.0,N,N
BPTH,Bio,"Bio-Path Holdings, Inc. - Common Stock",S,N,N,100.0,N,N
BPY,Brookfield Property Partners L.P. ,Brookfield Property Partners L.P. - Limited Partnership Units,Q,N,N,100.0,N,N
BRAC,Black Ridge Acquisition Corp. ,Black Ridge Acquisition Corp. - Common Stock,S,N,N,100.0,N,N
BRACR,Black Ridge Acquisition Corp. ,Black Ridge Acquisition Corp. - Right,S,N,N,100.0,N,N
BRACU,Black Ridge Acquisition Corp. ,Black Ridge Acquisition Corp. - Unit,S,N,N,100.0,N,N
BRACW,Black Ridge Acquisition Corp. ,Black Ridge Acquisition Corp. - Warrant,S,N,N,100.0,N,N
BREW,"Craft Brew Alliance, Inc. ","Craft Brew Alliance, Inc. - Common Stock",Q,N,N,100.0,N,N
BRID,Bridgford Foods Corporation ,Bridgford Foods Corporation - Common Stock,G,N,N,100.0,N,N
BRKL,"Brookline Bancorp, Inc. ","Brookline Bancorp, Inc. - Common Stock",Q,N,N,100.0,N,N
BRKR,Bruker Corporation ,Bruker Corporation - Common Stock,Q,N,N,100.0,N,N
BRKS,"Brooks Automation, Inc. ","Brooks Automation, Inc. - Common Stock",Q,N,N,100.0,N,N
BRPA,Big Rock Partners Acquisition Corp. ,Big Rock Partners Acquisition Corp. - Common Stock,S,N,N,100.0,N,N
BRPAR,Big Rock Partners Acquisition Corp. ,Big Rock Partners Acquisition Corp. - Right,S,N,N,100.0,N,N
BRPAU,Big Rock Partners Acquisition Corp. ,Big Rock Partners Acquisition Corp. - Unit,S,N,N,100.0,N,N
BRPAW,Big Rock Partners Acquisition Corp. ,Big Rock Partners Acquisition Corp. - Warrant,S,N,N,100.0,N,N
BRQS,"Borqs Technologies, Inc.  ","Borqs Technologies, Inc.  - Ordinary Shares",S,N,N,100.0,N,N
BRY,Berry Petroleum Corporation ,Berry Petroleum Corporation - Common Stock,Q,N,N,100.0,N,N
BSET,"Bassett Furniture Industries, Incorporated ","Bassett Furniture Industries, Incorporated - Common Stock",Q,N,N,100.0,N,N
BSPM,"Biostar Pharmaceuticals, Inc. ","Biostar Pharmaceuticals, Inc. - Common Stock",S,N,E,100.0,N,N
BSQR,BSQUARE Corporation ,BSQUARE Corporation - Common Stock,G,N,N,100.0,N,N
BSRR,Sierra Bancorp ,Sierra Bancorp - Common Stock,Q,N,N,100.0,N,N
BSTC,BioSpecifics Technologies Corp ,BioSpecifics Technologies Corp - Common Stock,G,N,N,100.0,N,N
BTAI,"BioXcel Therapeutics, Inc. ","BioXcel Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
BTEC,Principal Healthcare Innovators Index ETF,Principal Healthcare Innovators Index ETF,G,N,N,100.0,Y,N
BURG,"Chanticleer Holdings, Inc. ","Chanticleer Holdings, Inc. - Common Stock",S,N,N,100.0,N,N
BUSE,First Busey Corporation ,First Busey Corporation - Common Stock,Q,N,N,100.0,N,N
BVNSC,Brandes Investment Trust ,Brandes Investment Trust - Brandes Value NextShares,G,N,N,100.0,N,Y
BVSN,"BroadVision, Inc. ","BroadVision, Inc. - Common Stock",S,N,N,100.0,N,N
BVXV,BiondVax Pharmaceuticals Ltd. ,BiondVax Pharmaceuticals Ltd. - American Depositary Shares,S,N,N,100.0,N,N
BVXVW,BiondVax Pharmaceuticals Ltd. ,BiondVax Pharmaceuticals Ltd. - Warrants,S,N,N,100.0,N,N
BWB,"Bridgewater Bancshares, Inc. ","Bridgewater Bancshares, Inc. - Common Stock",S,N,N,100.0,N,N
BWEN,"Broadwind Energy, Inc. ","Broadwind Energy, Inc. - Common Stock",S,N,N,100.0,N,N
BWFG,"Bankwell Financial Group, Inc. ","Bankwell Financial Group, Inc. - Common Stock",G,N,N,100.0,N,N
BYFC,Broadway Financial Corporation ,Broadway Financial Corporation - Common Stock,S,N,N,100.0,N,N
BYSI,"BeyondSpring, Inc. ","BeyondSpring, Inc. - Ordinary Shares",S,N,N,100.0,N,N
BZUN,Baozun Inc. ,Baozun Inc. - American Depositary Shares,Q,N,N,100.0,N,N
CA,CA Inc. ,CA Inc. - Common Stock,Q,N,N,100.0,N,N
CAAS,"China Automotive Systems, Inc. ","China Automotive Systems, Inc. - Common Stock",S,N,N,100.0,N,N
CAC,Camden National Corporation ,Camden National Corporation - Common Stock,Q,N,N,100.0,N,N
CACC,Credit Acceptance Corporation ,Credit Acceptance Corporation - Common Stock,Q,N,N,100.0,N,N
CACG,ClearBridge All Cap Growth ETF,ClearBridge All Cap Growth ETF,G,N,N,100.0,Y,N
CADC,"China Advanced Construction Materials Group, Inc. ","China Advanced Construction Materials Group, Inc. - Common Stock",S,N,D,100.0,N,N
CAKE,The Cheesecake Factory Incorporated ,The Cheesecake Factory Incorporated - Common Stock,Q,N,N,100.0,N,N
CALA,"Calithera Biosciences, Inc. ","Calithera Biosciences, Inc. - Common Stock",Q,N,N,100.0,N,N
CALL,magicJack VocalTec Ltd ,magicJack VocalTec Ltd - Ordinary Shares,G,N,N,100.0,N,N
CALM,Cal,"Cal-Maine Foods, Inc. - Common Stock",Q,N,N,100.0,N,N
CAMP,CalAmp Corp. ,CalAmp Corp. - Common Stock,Q,N,N,100.0,N,N
CAMT,Camtek Ltd. ,Camtek Ltd. - Ordinary Shares,G,N,N,100.0,N,N
CAPR,"Capricor Therapeutics, Inc. ","Capricor Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
CAR,"Avis Budget Group, Inc. ","Avis Budget Group, Inc. - Common Stock",Q,N,N,100.0,N,N
CARA,"Cara Therapeutics, Inc. ","Cara Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
CARB,"Carbonite, Inc. ","Carbonite, Inc. - Common Stock",G,N,N,100.0,N,N
CARG,"CarGurus, Inc. ","CarGurus, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
CARO,Carolina Financial Corporation ,Carolina Financial Corporation - Common Stock,S,N,N,100.0,N,N
CART,"Carolina Trust BancShares, Inc. ","Carolina Trust BancShares, Inc. - Common Stock",S,N,N,100.0,N,N
CARV,"Carver Bancorp, Inc. ","Carver Bancorp, Inc. - Common Stock",S,N,N,100.0,N,N
CARZ,First Trust NASDAQ Global Auto Index Fund,First Trust NASDAQ Global Auto Index Fund,G,N,N,100.0,Y,N
CASA,"Casa Systems, Inc. ","Casa Systems, Inc. - Common Stock",Q,N,N,100.0,N,N
CASH,"Meta Financial Group, Inc. ","Meta Financial Group, Inc. - Common Stock",Q,N,N,100.0,N,N
CASI,"CASI Pharmaceuticals, Inc. ","CASI Pharmaceuticals, Inc. - Common Stock",S,N,N,100.0,N,N
CASM,"CAS Medical Systems, Inc. ","CAS Medical Systems, Inc. - Common Stock",S,N,N,100.0,N,N
CASS,"Cass Information Systems, Inc ","Cass Information Systems, Inc - Common Stock",Q,N,N,100.0,N,N
CASY,"Caseys General Stores, Inc. ","Caseys General Stores, Inc. - Common Stock",Q,N,N,100.0,N,N
CATB,"Catabasis Pharmaceuticals, Inc. ","Catabasis Pharmaceuticals, Inc. - Common Stock",G,N,D,100.0,N,N
CATC,Cambridge Bancorp ,Cambridge Bancorp - Common Stock,S,N,N,100.0,N,N
CATH,Global X S&P 500 Catholic Values ETF,Global X S&P 500 Catholic Values ETF,G,N,N,100.0,Y,N
CATM,Cardtronics plc ,Cardtronics plc - Common Stock,Q,N,N,100.0,N,N
CATS,"Catasys, Inc. ","Catasys, Inc. - Common Stock",S,N,N,100.0,N,N
CATY,Cathay General Bancorp ,Cathay General Bancorp - Common Stock,Q,N,N,100.0,N,N
CATYW,Cathay General Bancorp ,Cathay General Bancorp - Warrant,Q,N,N,100.0,N,N
CBAK,"CBAK Energy Technology, Inc. ","CBAK Energy Technology, Inc. - Common Stock",G,N,D,100.0,N,N
CBAN,"Colony Bankcorp, Inc. ","Colony Bankcorp, Inc. - Common Stock",G,N,N,100.0,N,N
CBAY,CymaBay Therapeutics Inc. ,CymaBay Therapeutics Inc. - Common Stock,Q,N,N,100.0,N,N
CBFV,"CB Financial Services, Inc. ","CB Financial Services, Inc. - Common Stock",G,N,N,100.0,N,N
CBIO,"Catalyst Biosciences, Inc.  ","Catalyst Biosciences, Inc.  - Common Stock",S,N,N,100.0,N,N
